Type,id,prof,use,group,prof_p,use_p,prof_perc,use_perc,prof_z,use_z,remove
intermediate_heritage,ihs13,30,70,hl,0.5357142857142857,0.7,53.57142857142857,70,-1.323607673083153,1.6907486857855478,1
intermediate_heritage,ihs15,38,25,hl,0.6785714285714286,0.25,67.85714285714286,25,-0.16127382185755135,-0.901540610989568,0
intermediate_heritage,ihs16,39,40,hl,0.6964285714285714,0.4,69.64285714285714,40,-0.015982090454351852,-0.037444178731196036,0
intermediate_heritage,ihs17,32,50,hl,0.5714285714285714,0.5,57.14285714285714,50,-1.0330242102767528,0.5386201094410519,0
intermediate_heritage,ihs18,31,70,hl,0.5535714285714286,0.7,55.35714285714286,70,-1.1783159416799525,1.6907486857855478,1
intermediate_heritage,ihs21,39,30,hl,0.6964285714285714,0.3,69.64285714285714,30,-0.015982090454351852,-0.613508466903444,0
intermediate_heritage,ihs22,37,40,hl,0.6607142857142857,0.4,66.07142857142857,40,-0.30656555326075197,-0.037444178731196036,0
intermediate_heritage,ihs24,27,75,hl,0.48214285714285715,0.75,48.214285714285715,75,-1.7594828672927532,1.9787808298716718,1
intermediate_heritage,ihs25,35,20,hl,0.625,0.2,62.5,20,-0.5971490160671521,-1.1895727550756918,0
intermediate_heritage,ihs26,38,50,hl,0.6785714285714286,0.5,67.85714285714286,50,-0.16127382185755135,0.5386201094410519,0
intermediate_heritage,ihs27,31,60,hl,0.5535714285714286,0.6,55.35714285714286,60,-1.1783159416799525,1.1146843976132998,0
intermediate_heritage,ihs28,33,30,hl,0.5892857142857143,0.3,58.92857142857143,30,-0.8877324788735522,-0.613508466903444,0
